process,ts_start,ts_end,algorithm,data_type,num_of_rows,num_of_dimensions,query_info,run_time,mem_usage
precomputing,2019-06-10__16:35:39,2019-06-10__16:36:58,kmmpti-no-rsl,ac,2000,3,-,0:01:19.519245,83.165184
precomputing,2019-06-10__16:59:47,2019-06-10__17:08:14,kmppti-thread,ac,2000,3,-,0:08:27.407418,92.389376
precomputing,2019-06-10__17:09:55,2019-06-10__17:13:35,kmmpti-no-rsl,ac,3000,3,-,0:03:39.881664,106.876928
precomputing,2019-06-10__17:15:36,2019-06-10__17:31:24,kmppti-no-thread,ac,3000,3,-,0:15:47.093676,143.712256
precomputing,2019-06-10__17:34:43,2019-06-10__17:57:16,kmppti-thread,ac,3000,3,-,0:22:33.798725,159.5392
precomputing,2019-06-10__18:05:36,2019-06-10__18:14:19,kmmpti-no-rsl,ac,4000,3,-,0:08:43.084839,136.998912
precomputing,2019-06-10__18:15:58,2019-06-10__18:51:17,kmppti-no-thread,ac,4000,3,-,0:35:19.599192,196.05504
precomputing,2019-06-10__18:54:01,2019-06-10__19:43:09,kmppti-thread,ac,4000,3,-,0:49:08.548598,196.509696
precomputing,2019-06-10__19:57:08,2019-06-10__19:59:48,kmmpti-no-rsl,i,2000,3,-,0:02:40.088232,79.58528
precomputing,2019-06-10__20:01:51,2019-06-10__20:16:16,kmppti-no-thread,i,2000,3,-,0:14:24.746070,102.043648
precomputing,2019-06-10__20:21:28,2019-06-10__20:37:50,kmppti-thread,i,2000,3,-,0:16:22.418061,108.60544
precomputing,2019-06-10__20:39:32,2019-06-10__20:45:50,kmmpti-no-rsl,i,3000,3,-,0:06:17.911588,129.691648
precomputing,2019-06-10__20:53:43,2019-06-10__22:19:11,kmppti-no-thread,i,4000,3,-,1:25:27.920760,246.099968
precomputing,2019-06-10__22:21:45,2019-06-10__22:33:53,kmmpti-no-rsl,i,4000,3,-,0:12:07.930820,193.35168
precomputing,2019-06-10__22:35:18,2019-06-11__00:16:25,kmppti-thread,i,4000,3,-,1:41:06.593983,271.740928
precomputing,2019-06-11__00:22:06,2019-06-11__01:03:42,kmppti-no-thread,i,3000,3,-,0:41:36.229622,171.634688
precomputing,2019-06-11__01:05:40,2019-06-11__01:54:46,kmppti-thread,i,3000,3,-,0:49:06.339515,187.78112
precomputing,2019-06-11__01:58:17,2019-06-11__01:59:17,kmmpti-no-rsl,fc,1000,2,-,0:01:00.184959,62.590976
precomputing,2019-06-11__02:00:25,2019-06-11__02:04:07,kmppti-no-thread,fc,1000,2,-,0:03:41.918062,78.032896
precomputing,2019-06-11__02:04:33,2019-06-11__02:09:31,kmppti-thread,fc,1000,2,-,0:04:57.886820,91.549696
precomputing,2019-06-11__02:10:09,2019-06-11__02:12:38,kmmpti-no-rsl,fc,1000,3,-,0:02:29.665027,100.253696
precomputing,2019-06-11__02:34:34,2019-06-11__03:09:58,kmppti-no-thread,fc,1000,3,-,0:35:23.963089,99.078144
query,2019-06-11__03:11:46,2019-06-11__03:11:47,kmppts,fc,1000,3,k : 10 | time intvl : 10-100,0:00:00.783734,107.90912
query,2019-06-11__03:12:59,2019-06-11__03:13:00,kmppts,fc,1000,3,k : 10 | time intvl : 10-100,0:00:00.751419,107.954176
